AlbumID,Name
122,Chapter V (Deluxe)
1058,Mobile Estates
3960,In 3-D
1778,Do You Know
58,Diver Down (Remastered)
7,The Very Best of The Everly Brothers
4809,+
4080,A Good Thing Lost: 1968-1973
46,Up On The Roof: The Best Of The Drifters
4942,Is You Is or Is You Ain't?
4479,Monster Hits From The 20th Century
2398,{'album_type': 'album'| 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/22i8GlNyvBRj7b93jmXWT7'}| 'href': 'https://api.spotify.com/v1/artists/22i8GlNyvBRj7b93jmXWT7'| 'id': '22i8GlNyvBRj7b93jmXWT7'| 'name': 'Linear'| 'type': 'artist'| 'uri': 'spotify:artist:22i8GlNyvBRj7b93jmXWT7'}]| 'available_markets': ['AD'| 'AE'| 'AG'| 'AL'| 'AM'| 'AO'| 'AR'| 'AT'| 'AU'| 'AZ'| 'BA'| 'BB'| 'BD'| 'BE'| 'BF'| 'BG'| 'BH'| 'BI'| 'BJ'| 'BN'| 'BO'| 'BR'| 'BS'| 'BT'| 'BW'| 'BY'| 'BZ'| 'CA'| 'CH'| 'CI'| 'CL'| 'CM'| 'CO'| 'CR'| 'CV'| 'CW'| 'CY'| 'CZ'| 'DE'| 'DJ'| 'DK'| 'DM'| 'DO'| 'DZ'| 'EC'| 'EE'| 'EG'| 'ES'| 'FI'| 'FJ'| 'FM'| 'FR'| 'GA'| 'GB'| 'GD'| 'GE'| 'GH'| 'GM'| 'GN'| 'GQ'| 'GR'| 'GT'| 'GW'| 'GY'| 'HK'| 'HN'| 'HR'| 'HT'| 'HU'| 'ID'| 'IE'| 'IL'| 'IN'| 'IS'| 'IT'| 'JM'| 'JO'| 'JP'| 'KE'| 'KG'| 'KH'| 'KI'| 'KM'| 'KN'| 'KR'| 'KW'| 'KZ'| 'LA'| 'LB'| 'LC'| 'LI'| 'LK'| 'LR'| 'LS'| 'LT'| 'LU'| 'LV'| 'MA'| 'MC'| 'MD'| 'ME'| 'MG'| 'MH'| 'MK'| 'ML'| 'MN'| 'MO'| 'MR'| 'MT'| 'MU'| 'MV'| 'MW'| 'MX'| 'MY'| 'MZ'| 'NA'| 'NE'| 'NG'| 'NI'| 'NL'| 'NO'| 'NP'| 'NR'| 'NZ'| 'OM'| 'PA'| 'PE'| 'PG'| 'PH'| 'PK'| 'PL'| 'PS'| 'PT'| 'PW'| 'PY'| 'QA'| 'RO'| 'RS'| 'RU'| 'RW'| 'SA'| 'SB'| 'SC'| 'SE'| 'SG'| 'SI'| 'SK'| 'SL'| 'SM'| 'SN'| 'SR'| 'ST'| 'SV'| 'SZ'| 'TD'| 'TG'| 'TH'| 'TL'| 'TN'| 'TO'| 'TR'| 'TT'| 'TV'| 'TW'| 'TZ'| 'UA'| 'UG'| 'US'| 'UY'| 'UZ'| 'VC'| 'VN'| 'VU'| 'WS'| 'XK'| 'ZA'| 'ZM'| 'ZW']| 'external_urls': {'spotify': 'https://open.spotify.com/album/6qnHcP6z0qNjupb9mkSyG0'}| 'href': 'https://api.spotify.com/v1/albums/6qnHcP6z0qNjupb9mkSyG0'| 'id': '6qnHcP6z0qNjupb9mkSyG0'| 'images': [{'height': 640| 'url': 'https://i.scdn.co/image/ab67616d0000b273807ee983ccef2522aceba219'| 'width': 640}| {'height': 300| 'url': 'https://i.scdn.co/image/ab67616d00001e02807ee983ccef2522aceba219'| 'width': 300}| {'height': 64| 'url': 'https://i.scdn.co/image/ab67616d00004851807ee983ccef2522aceba219'| 'width': 64}]| 'name': 'Linear'| 'release_date': '2005-02-08'| 'release_date_precision': 'day'| 'total_tracks': 10| 'type': 'album'| 'uri': 'spotify:album:6qnHcP6z0qNjupb9mkSyG0'}
6718,The Meters
466,All Nite
6314,Safe + Sound
16,Move On Up
2916,Freaky Friday (feat. Chris Brown)
3226,Dirty Ol Man
3666,Bill Cosby Sings Hooray For The Salvation Army Band!
6285,Run Joey Run
611,The Top and Bottom Records Singles Collection 1969-1971
381,At Budokan
9,Collectors Gold Series
6632,Bab
1708,Crossing the Northern Border
2,Radio Hits Of the '80s
4540,70's R&B
1980,3D
0,The Essential Andy Williams
2725,Harlem World
1966,Tammy's Touch
4364,In the Midnight Hour
826,Original Brunswick Hit Recordings
6233,The Best Of Doo Wop LP #1
5555,Me & My Brother
1186,Europop
6,Something To Get You Hyped
6907,The Best of Echo Soul
6642,So Fine: The Classic Old Town Recordings
45,The Best Of Mac Davis
240,This Is Ty Herndon: Greatest Hits
2950,Classic American Hits
2512,Here I Stand (The Best Of)
2776,Live
2624,Just Feels Good
731,Live On Air 1966-68
7819,Everywhere
7592,Vete
12,Arista Heritage Series: Jermaine Jackson
97,Gangsta's Paradise
2441,The Very Best Of The New Birth
2954,Obsessed
5911,Pata Pata
2310,Under My Hat (The Original Recordings - Digitally Remastered)
2258,Free-For-All
2970,This Is Clarence Carter
264,The Best Of Lobo
1398,Vandenberg
1030,The Belle Album
4,The Night I Fell In Love
7633,Great Gonzos! The Best Of Ted Nugent
109,Sunshine Pop
6701,Make It Last Forever
1,...Baby One More Time (Digital Deluxe Version)
1800,Duran Duran
3627,The New Lee Dorsey
6898,The Wonderful World of the 50's - 100 Hit Songs
154,Still Crazy After All These Years
1754,Color Him Father
6977,80's rock
924,Electic Waio
3,The Essential Tammy Wynette
765,Awake
6032,TESTING
1312,Lost Sides
10,Everything's Different Now
459,Four The Record
66,The Dock of the Bay (Mono)
2009,Flavours
7689,Valli
156,500 Miles Away From Home
2272,Soul Powe
3821,God's Son
937,÷ (Deluxe)
1209,{'album_type': 'album'| 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/66lH4jAE7pqPlOlzUKbwA0'}| 'href': 'https://api.spotify.com/v1/artists/66lH4jAE7pqPlOlzUKbwA0'| 'id': '66lH4jAE7pqPlOlzUKbwA0'| 'name': 'Miranda Lambert'| 'type': 'artist'| 'uri': 'spotify:artist:66lH4jAE7pqPlOlzUKbwA0'}]| 'available_markets': ['AD'| 'AE'| 'AG'| 'AL'| 'AM'| 'AO'| 'AR'| 'AT'| 'AU'| 'AZ'| 'BA'| 'BB'| 'BD'| 'BE'| 'BF'| 'BG'| 'BH'| 'BI'| 'BJ'| 'BN'| 'BO'| 'BR'| 'BS'| 'BT'| 'BW'| 'BY'| 'BZ'| 'CA'| 'CH'| 'CI'| 'CL'| 'CM'| 'CO'| 'CR'| 'CV'| 'CW'| 'CY'| 'CZ'| 'DE'| 'DJ'| 'DK'| 'DM'| 'DO'| 'DZ'| 'EC'| 'EE'| 'EG'| 'ES'| 'FI'| 'FJ'| 'FM'| 'FR'| 'GA'| 'GB'| 'GD'| 'GE'| 'GH'| 'GM'| 'GN'| 'GQ'| 'GR'| 'GT'| 'GW'| 'GY'| 'HK'| 'HN'| 'HR'| 'HT'| 'HU'| 'ID'| 'IE'| 'IL'| 'IN'| 'IS'| 'IT'| 'JM'| 'JO'| 'JP'| 'KE'| 'KG'| 'KH'| 'KI'| 'KM'| 'KN'| 'KR'| 'KW'| 'KZ'| 'LA'| 'LB'| 'LC'| 'LI'| 'LK'| 'LR'| 'LS'| 'LT'| 'LU'| 'LV'| 'MA'| 'MC'| 'MD'| 'ME'| 'MG'| 'MH'| 'MK'| 'ML'| 'MN'| 'MO'| 'MR'| 'MT'| 'MU'| 'MV'| 'MW'| 'MX'| 'MY'| 'MZ'| 'NA'| 'NE'| 'NG'| 'NI'| 'NL'| 'NO'| 'NP'| 'NR'| 'NZ'| 'OM'| 'PA'| 'PE'| 'PG'| 'PH'| 'PK'| 'PL'| 'PS'| 'PT'| 'PW'| 'PY'| 'QA'| 'RO'| 'RS'| 'RU'| 'RW'| 'SA'| 'SB'| 'SC'| 'SE'| 'SG'| 'SI'| 'SK'| 'SL'| 'SM'| 'SN'| 'SR'| 'ST'| 'SV'| 'SZ'| 'TD'| 'TG'| 'TH'| 'TL'| 'TN'| 'TO'| 'TR'| 'TT'| 'TV'| 'TW'| 'TZ'| 'UA'| 'UG'| 'US'| 'UY'| 'UZ'| 'VC'| 'VN'| 'VU'| 'WS'| 'XK'| 'ZA'| 'ZM'| 'ZW']| 'external_urls': {'spotify': 'https://open.spotify.com/album/5Or2XM0Gjy6Y8qlaERqsSn'}| 'href': 'https://api.spotify.com/v1/albums/5Or2XM0Gjy6Y8qlaERqsSn'| 'id': '5Or2XM0Gjy6Y8qlaERqsSn'| 'images': [{'height': 640| 'url': 'https://i.scdn.co/image/ab67616d0000b273753e552f06e10a4987ea455b'| 'width': 640}| {'height': 300| 'url': 'https://i.scdn.co/image/ab67616d00001e02753e552f06e10a4987ea455b'| 'width': 300}| {'height': 64| 'url': 'https://i.scdn.co/image/ab67616d00004851753e552f06e10a4987ea455b'| 'width': 64}]| 'name': 'Wildcard'| 'release_date': '2019-11-01'| 'release_date_precision': 'day'| 'total_tracks': 14| 'type': 'album'| 'uri': 'spotify:album:5Or2XM0Gjy6Y8qlaERqsSn'}
1853,The Ultimate Tyrone Davis
5,Caprice! The Story Behind Gerry Granahan's Caprice Label 1960 - 1963
7847,Who The F*** Is That? (feat. T-Pain & Tay Dizm
1396,New Wave Classics
7328,Rhino Hi-Five: Information Society
5103,I Remember That Song! AM Radio Edition
53,A Thousand Miles Left Behind
1807,D & B Together
6666,The Essential Dionne Warwick
1686,Greatest Hits & More
8,Paul Aka Sigs His Big Te
541,Live At Felt Forum - The 2001 Concert
7202,Cymande
185,Bad Luck Streak In Dancing School
37,More of The Monkees (Deluxe Edition)
3961,The History of Northwest Rock Vol. 1
7698,Welcome Christmas (Glee Cast Version)
6711,Len Barry
151,5 O'Clock
13,Chubby Checker Classics
2763,Finally Got Myself Together
905,"B2K Presents ""You Got Served"" Soundtrack"
7383,Tuneweaving
4384,The Definitive Rod Stewart
11,Disco Gold Vol. 2
181,The Best Of Sonny & Cher
7068,Lonely Teardrops
519,Almost Persuaded No. 2 / Don't Go Near The Eskimos
7795,SAVAGE
4470,Plug Me In
525,Forever Changes (2015 Remastered Version)
7360,Music From The Motion Picture Ocean's Thirteen (Standard Version)
6532,Frozen Ghost
473,All Or Nothing
606,An Innocent Man
2311,Fortune (Expanded Edition)
230,Gee Whiz
351,Get Serious!
1383,Saved
63,All-4-One
4859,For Those About to Rock (We Salute You)
23,The Ultimate Jackie Wilson
197,Dylan (1973)
6953,Hozier (Expanded Edition)
1670,Mac & Katie Kissoon: I've Found My Freedo
2965,Funhouse (Expanded Edition)
3786,Rhino Hi-Five: All-4-One
5764,Wow... That's Crazy
1135,Led Zeppelin IV (Deluxe Edition)
14,I Still Know What You Did Last Summer Soundtrack
642,Jørgen Ingmann - Best of
446,Mr. Tambourine Man
3835,The Ultimate Gary Glitter
7402,Tip of My Tongue
6964,Luther Vandross
15,Agents Of Fortune
7138,The First Time: The Best Of Surface
38,Greatest Hits Collection
2425,Greetings From...Jake
1828,Procol Harum (2009 remaster)
1540,Last Splash
17,Destively Bonnaroo
5871,Going Back in Tim
5180,EVOL
997,DUMMY BOY
18,The Ultimate Chi-Lites
43,(If Loving You Is Wrong) I Don't Want to Be Right
3619,The Very Best of the Eagles (2013 Remaster)
19,Ghost Riders
