ArtistID,ArtistName
1618,The Manhattans
308,Rozetta Johnson
2809,Lighthouse
1915,Della Humphrey
47,Ronnie Dyson
1515,Ice-T
302,Peabo Bryson 
3731,Cake
1849,Franz Ferdinand
316,Genesis
2840,The Fuzz
3911,Dee Jay And The Runaways
851,Tommy James And The Shondells
89,Frankie Valli
26,Barbara Lynn
691,Kokomo
3194,Larry Graham
840,Jim Croce
331,The Range
740,The Echoes
2861,The Stereos
1757,Wink Martindale
3462,Denise LaSalle
4,Luther Vandross
1146,Jackson Browne
633,Disturbed
3186,John Eddie
0,Andy Williams
1737,Godspell
3689,Somethin' For The People 
218,Clay Walker
177,The Weeknd
34,Tab Hunter
28,Three Days Grace
1470,Ray Price
247,Cliff Richard
3748,Dukays
1288,Go West
113,One Direction
5,The Angels
490,Christopher Cross
3674,Katharine McPhee
386,Rod Stewart
324,The Fray
4293,RuPaul
587,Ozuna
3762,Reina
1921,Spys
1489,Herb
3122,Bobby Hendricks
1,Britney Spears
1841,Rome
196,Big Maybelle
2086,Tanto Metro 
2355,Mo Thugs Family 
3539,His Orchestra
4021,Around The Way
496,Kid Rock
242,Jocelyn Enriquez
772,Ten Years After
51,Steven Tyler
4831,Matt McAndrew
2,Paul Davis
3856,Snap!
456,Jack Wagner
963,Vertical Horizon
4298,Slim 
815,The Cataracs 
318,T.I. 
2297,Mario Vazquez
42,Glee Cast
457,Dan Hill
3,Tammy Wynette
5018,Deja
4892,The Drivers
161,Madonna 
643,Michael Cera 
221,The G-Clefs
600,Angelica
1183,Big Pig
6,Young And Restless
3737,Yael Naim
518,Brandy
3788,Kings Of Leon
4297,Gemini
1957,A Dog
120,G-Eazy 
7,The Everly Brothers
408,B.o.B 
98,Dunn
