GenreID,GenreName
666,stoner rock
377,christian rock
6,post-teen pop
0,adult standards
4,dance pop
109,piano rock
56,piano blues
349,swedish synthpop
52,electric blues
259,pop emo
735,nursery
1,brill building pop
194,arkansas country
23,urban contemporary
138,metropopolis
282,modern uplift
870,jazz quartet
132,jazz funk
551,indie anthem-folk
76,northern soul
283,miami hip hop
22,soul
2,easy listening
25,garage rock
11,new wave pop
82,modern country rock
7,album rock
164,trip hop
446,k-pop boy group
46,hard rock
189,disco house
464,bboy
3,mellow gold
5,pop
411,deep smooth jazz
779,skramz
42,disco
502,grime
118,indie rock
36,rhythm and blues
96,glam rock
754,deep classic garage rock
8,bubblegum pop
102,gangster rap
460,socal pop punk
9,country rock
73,classic uk pop
372,dusseldorf electronic
794,deep talent show
10,folk rock
286,bronx hip hop
12,soft rock
441,southern soul blues
442,madchester
32,rockabilly
294,swing
13,yacht rock
110,pop rock
136,dirty south rap
850,strut
60,classic garage rock
717,birmingham hip hop
54,louisiana blues
512,la indie
14,country
263,hyphy
395,chicano rap
99,hip hop
834,jazz violin
37,boston rock
630,bc underground hip hop
316,art pop
866,healing
15,country dawn
50,chicago soul
35,doo-wop
515,noise pop
16,nashville sound
149,ectofolk
17,funk
339,lds youth
18,motown
19,neo soul
43,post-disco
59,southern rock
326,puerto rican pop
20,new jack swing
163,electronica
62,philly soul
308,dutch pop
401,surf music
465,celtic rock
21,quiet storm
389,canadian folk
24,blues rock
868,jazz vibraphone
287,modern hard rock
26,modern blues rock
148,acid house
27,neo-psychedelic
649,jazz drums
28,nu gaze
31,rock-and-roll
70,new jersey rap
338,deep contemporary country
29,punk blues
266,cumbia
814,instrumental surf
44,art rock
447,electropowerpop
858,jamgrass
789,music hall
30,lounge
425,p funk
33,sunshine pop
93,dancehall
57,roots rock
416,christian pop
111,southern hip hop
829,alabama rap
171,danish pop
34,canadian pop
38,dance rock
49,rock
39,new romantic
889,vapor pop
119,indietronica
475,indie poptimism
569,comedy
40,new wave
913,slow game
55,new orleans blues
41,classic soul
408,christian punk
560,shibuya-kei
45,classic rock
47,metal
774,british jazz
631,post-metal
48,psychedelic rock
391,modern bollywood
51,blues
53,jazz blues
104,cowboy western
58,southern soul
61,vocal harmony group
193,roots americana
63,contemporary vocal jazz
64,vocal jazz
529,barbershop
65,alternative metal
87,soul jazz
652,drum and bass
66,canadian metal
215,country gospel
67,canadian rock
201,power pop
740,modern southern rock
685,alabama indie
