SongID,AlbumID,Name,Duration,Dancablity,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Popularity,Explicit
0,0,......And Roses And Roses,166106,0.154,0.185,-14.063,0.0315,0.911,0.000267,0.112,0.15,38,FALSE
1,1,...Baby One More Time,211066,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,77,FALSE
2,2,'65 Love Affair,219813,0.647,0.686,-4.247,0.0274,0.432,6.19E-06,0.133,0.952,40,FALSE
3,3,'til I Can Make It On My Own,182080,0.45,0.294,-12.022,0.0318,0.832,3.53E-05,0.108,0.146,31,FALSE
4,4,'Til My Baby Comes Home,332226,0.804,0.714,-6.714,0.183,0.0567,6.21E-06,0.0253,0.802,29,FALSE
5,5,Til,148440,0.253,0.232,-12.695,0.0318,0.805,0.00018,0.0939,0.307,10,FALSE
6,6,"""B"" Girls",242106,0.615,0.497,-11.913,0.439,0.016,0,0.312,0.769,20,FALSE
7,7,('til) I Kissed You,146066,0.518,0.432,-11.689,0.0459,0.401,0,0.299,0.701,53,FALSE
8,8,(All of a Sudden) My Heart Sings,184200,0.307,0.267,-11.898,0.0327,0.809,0,0.269,0.39,21,FALSE
9,9,(Baby) Hully Gully,127829,0.744,0.47,-10.295,0.035,0.659,0,0.256,0.908,5,FALSE
10,10,(Believed You Were) Lucky,216973,0.612,0.523,-11.425,0.0321,0.448,1.59E-06,0.0727,0.495,17,FALSE
11,11,(Call Me Your) Anything Man,374491,0.624,0.604,-12.401,0.0459,0.0474,0.00159,0.263,0.76,4,FALSE
12,12,(Closest Thing To) Perfect,230693,0.661,0.763,-12.204,0.0326,0.0205,0.000307,0.382,0.905,8,FALSE
13,13,(Dance The) Mess Around,141666,0.544,0.725,-7.054,0.0759,0.0605,0,0.112,0.746,13,FALSE
14,14,(Do You) Wanna Ride,213213,0.757,0.659,-5.525,0.0701,0.185,0,0.0674,0.878,7,FALSE
15,15,(Don't Fear) The Reaper,308120,0.333,0.927,-8.55,0.0733,0.0029,0.000211,0.297,0.382,77,FALSE
16,16,(Don't Worry) If There's A Hell Below We're All Going To Go,470506,0.686,0.755,-8.304,0.0488,0.149,0.063,0.111,0.686,15,FALSE
17,17,(everybody Wanna Get Rich) Rite Away,163933,0.746,0.916,-10.061,0.0772,0.518,0.0686,0.0785,0.971,54,FALSE
18,18,(For God's Sake) Give More Power To The People,180133,0.665,0.552,-10.177,0.0307,0.493,0.0272,0.421,0.899,29,FALSE
19,19,(Ghost) Riders In The Sky,351400,0.228,0.896,-7.241,0.13,0.0132,0.0273,0.795,0.146,47,FALSE
20,20,(Ghost) Riders In The Sky,156933,0.442,0.717,-9.943,0.0395,0.518,0.262,0.184,0.376,24,FALSE
21,21,(Girls| Girls| Girls) Made To Love,150666,0.61,0.377,-9.805,0.0935,0.414,0,0.0734,0.519,16,FALSE
22,22,(He's) The Great Impostor,132101,0.499,0.249,-11.793,0.0422,0.733,0,0.105,0.539,15,FALSE
23,23,(I Can Feel Those Vibrations) This Love Is Real,175146,0.63,0.8,-6.002,0.15,0.429,0,0.3,0.736,26,FALSE
24,24,(I Can Feel Your Love) Slipping Away,199626,0.44,0.427,-5.455,0.0254,0.563,0,0.295,0.335,16,FALSE
25,25,(I Can't Help You) I'm Falling Too,165266,0.617,0.197,-12.145,0.0267,0.777,0,0.133,0.384,23,FALSE
27,26,(I Cried at) Laura's Wedding,158213,0.579,0.299,-8.729,0.0304,0.84,4.71E-05,0.117,0.194,2,FALSE
28,27,(I Do The) Shimmy Shimmy,157466,0.508,0.857,-5.498,0.04,0.74,0,0.365,0.891,3,FALSE
29,28,(I Hate) Everything About You,231480,0.498,0.83,-5.157,0.0421,0.00461,0,0.139,0.453,74,FALSE
30,29,(I Know I Got) Skillz,263053,0.801,0.875,-9.705,0.0995,0.00366,0.425,0.182,0.637,33,FALSE
31,30,(I Never Promised You A) Rose Garden,195573,0.577,0.728,-6.944,0.0478,0.503,0,0.133,0.78,30,FALSE
32,31,(I Remember) Summer Morning,178418,0.528,0.341,-12.768,0.03,0.922,0,0.135,0.337,3,FALSE
33,32,(I Wanna) Dance With The Teacher,107317,0.567,0.458,-15.353,0.0623,0.428,0.0412,0.356,0.829,1,FALSE
34,33,(I Wanna) Love My Life Away,114906,0.548,0.694,-9.356,0.0359,0.811,5.38E-05,0.596,0.924,26,FALSE
35,34,(I Wanna) Testify,183693,0.668,0.702,-5.75,0.033,0.336,0,0.0521,0.754,16,FALSE
36,35,(I'll Be With You In) Apple Blossom Time,130759,0.585,0.45,-9.468,0.0357,0.856,4.92E-06,0.0777,0.627,8,FALSE
37,36,(I'm Just A) Fool For You,160853,0.564,0.623,-9.553,0.0319,0.288,1.31E-05,0.0947,0.911,8,FALSE
38,37,(I'm Not Your) Steppin' Stone,146533,0.537,0.677,-4.437,0.0301,0.0151,0.000199,0.0981,0.324,45,FALSE
39,38,(I'm So) Afraid Of Losing You Again,173320,0.525,0.354,-12.332,0.0344,0.466,3.86E-05,0.246,0.495,30,FALSE
40,39,(i've Been) Searchin' So Long,268426,0.194,0.591,-6.181,0.0318,0.118,6.43E-05,0.2,0.164,41,FALSE
41,40,(I've Got) Spring Fever,131533,0.699,0.373,-12.653,0.0813,0.801,0.518,0.0764,0.73,2,FALSE
42,41,(I've Had) The Time Of My Life,289066,0.7,0.781,-8.255,0.0507,0.0874,0.00342,0.059,0.385,70,FALSE
43,42,(I've Had) The Time Of My Life,277560,0.459,0.77,-5.996,0.0472,0.0765,0,0.0879,0.168,49,FALSE
44,43,(If Loving You Is Wrong) I Don't Want To Be Right,216800,0.502,0.451,-7.423,0.0438,0.283,0,0.154,0.531,48,FALSE
